Portfolio,Property Name,Address,City,Postal State,Zipcode,Property Type,Class,Total Units,Total Rentable Square Feet,Year Built,Year Renovated,Basis
Pool 1,401 COLUMBUS AVE,401 COLUMBUS AVE,VALHALLA,NY,10595,OFFICE,B,18,"26,619",2007/7/17,2012/11/1,"$3,302,712.58"
Pool 1,107-14 LIBERTY AVE,107 LIBERTY AVE,OZONE PARK,NY,11417,RETAIL,B,1,"10,560",2008/8/12,2012/11/1,"$1,969,650.18"
Pool 1,3301-27 W OLD SHAKOPEE RD (CROSSED A),3301 W OLD SHAKOPEE RD,BLOOMINGTON,MN,55431,MULTIFAMILY,A,12,"21,600",2007/9/13,2012/11/1,"$1,257,204.66"
Pool 1,1338 N LASALLE ST (CROSSED B),1338 N LASALLE ST,CHICAGO,IL,60610,MULTIFAMILY,B,7,"5,860",2008/7/25,2012/11/1,"$835,655.15"
Pool 1,3220 EAST 61ST STREET (CROSSED C),3220 EAST 61ST STREET,INVER GROVE HEIGHTS,MN,55076,MULTIFAMILY,A,12,"14,400",2010/11/1,2012/10/1,"$90,000.00"
Pool 1,280-82 PARK AVENUE,280 PARK AVENUE,RUTHERFORD,NJ,7070,MULTIFAMILY,A,11,"11,900",2005/12/6,2012/11/1,"$1,064,409.12"
Pool 1,105-20 LIBERTY AVE,105 LIBERTY AVE,OZONE PARK,NY,11417,OFFICE,A,2,"5,800",2008/8/8,2012/11/1,"$1,051,715.86"
Pool 1,6346-354  S FAIRFIELD AVE,6346  S FAIRFIELD AVE,CHICAGO,IL,60629,MULTIFAMILY,A,31,"23,049",2007/6/28,2012/11/1,"$903,105.50"
Pool 1,279 SOUTH BROADWAY,279 SOUTH BROADWAY,YONKERS,NY,10705,MULTIFAMILY,B,12,"9,205",2007/4/6,2012/11/1,"$884,976.52"
Pool 1,5101-109 WILLISTON STREET,5101 WILLISTON STREET,BALTIMORE,MD,21229,MULTIFAMILY,A,22,"14,350",2006/5/17,2012/11/1,"$771,463.38"
Pool 1,185 BROADWAY,185 BROADWAY,NEWARK,NJ,7104,MULTIFAMILY,B,11,"8,593",2007/6/1,2012/11/1,"$617,835.87"
Pool 1,163 FIRE ISLAND AVE,163 FIRE ISLAND AVE,BABYLON,NY,11702,MULTIFAMILY,A,6,"4,357",2005/9/30,2012/10/1,"$604,240.95"
Pool 1,28 COVERT STREET,28 COVERT STREET,BROOKLYN,NY,11207,MULTIFAMILY,B,11,"4,500",2005/7/8,2012/11/1,"$592,613.89"
Pool 1,7800-04 S EUCLID ST,7800 S EUCLID ST,CHICAGO,IL,60649,MULTIFAMILY,A,13,"12,050",2006/2/24,2012/11/1,"$530,677.41"
Pool 1,172-02 LINDEN BLVD,172 LINDEN BLVD,JAMAICA,NY,11434,MULTIFAMILY,B,5,"3,600",2007/3/2,2012/11/1,"$506,060.22"
