City_State,City,State, Postal, Latitude, Longitude, Number of POI
Adjuntas_PR,Adjuntas,PR,601,18.1786,-66.7518,15
Aguada_PR,Aguada,PR,602,18.3604,-67.1764,29
Aguadilla_PR,Aguadilla,PR,603,18.432784,-67.15489,43
Aguadilla_PR,Aguadilla,PR,604,18.444906,-67.141177,1
Aguadilla_PR,Aguadilla,PR,605,18.444906,-67.141177,8
Maricao_PR,Maricao,PR,606,18.1749,-66.9463,9
Anasco_PR,Anasco,PR,610,18.287352,-67.13246,16
Arecibo_PR,Arecibo,PR,612,18.40334,-66.67502,35
Arecibo_PR,Arecibo,PR,613,18.401525,-66.766536,7
Arecibo_PR,Arecibo,PR,614,18.45793,-66.73749,18
Barceloneta_PR,Barceloneta,PR,614,18.417994,-66.578341,1
Barceloneta_PR,Barceloneta,PR,617,18.4459,-66.556,12
Cabo Rojo_PR,Cabo Rojo,PR,623,18.087329,-67.144012,19
Penuelas_PR,Penuelas,PR,624,18.053305,-66.724395,16
Camuy_PR,Camuy,PR,627,18.4345,-66.86,16
Adjuntas_PR,Adjuntas,PR,631,18.223551,-66.864503,2
Sabana Grande_PR,Sabana Grande,PR,637,18.079179,-66.957768,13
Ciales_PR,Ciales,PR,638,18.325298,-66.473317,23
Utuado_PR,Utuado,PR,641,18.26651,-66.698482,24
Dorado_PR,Dorado,PR,646,18.4448,-66.2657,12
Toa Baja_PR,Toa Baja,PR,646,18.460263,-66.262148,1
Florida_PR,Florida,PR,650,18.363825,-66.57198,9
Guanica_PR,Guanica,PR,653,17.98771,-66.89904,14
Gu+//0-nica_PR,Gu+//0-nica,PR,653,17.9695,-66.913,3
Guayanilla_PR,Guayanilla,PR,656,18.0097,-66.799939,14
Hatillo_PR,Hatillo,PR,659,18.489861,-66.823985,21
Hormigueros_PR,Hormigueros,PR,660,18.139518,-67.140018,10
Isabela_PR,Isabela,PR,662,18.503796,-67.023292,26
Jayuya_PR,Jayuya,PR,664,18.214082,-66.58259,17
Lajas_PR,Lajas,PR,667,18.050635,-67.060099,15
Lares_PR,Lares,PR,669,18.300208,-66.881484,17
Las Marias_PR,Las Marias,PR,670,18.24946,-66.99079,10
