ID,REVIEWS_AVG,REVIEWS_TOTAL,SALESRANK
20,4.5,140.0,795.0
80,4.0,167.0,10217.0
129,3.5,375.0,29460.0
192,3.0,261.0,10350.0
256,4.5,167.0,38960.0
295,3.5,3049.0,19.0
305,4.5,178.0,69930.0
368,5.0,416.0,1581.0
370,5.0,416.0,216328.0
375,4.5,145.0,6383.0
378,4.5,132.0,6716.0
440,4.5,424.0,225347.0
447,4.5,141.0,607.0
449,4.5,179.0,52294.0
456,4.5,545.0,2439.0
457,3.5,142.0,15069.0
458,4.5,545.0,301940.0
498,4.0,143.0,4606.0
576,4.5,316.0,758.0
581,3.5,178.0,38164.0
605,4.5,138.0,21104.0
667,4.0,236.0,152763.0
675,4.5,551.0,359382.0
687,3.0,1688.0,569310.0
788,5.0,124.0,48215.0
825,4.0,178.0,269712.0
845,4.0,542.0,24920.0
862,5.0,258.0,41024.0
942,3.5,1817.0,5735.0
975,4.0,108.0,48515.0
1082,4.5,137.0,1183.0
1150,4.5,381.0,681.0
1211,4.0,268.0,3206.0
1276,3.0,226.0,5642.0
1309,4.0,121.0,15442.0
1311,4.5,261.0,443.0
1315,4.5,110.0,31978.0
1317,4.0,292.0,494999.0
1370,4.5,221.0,18558.0
1546,4.5,647.0,223.0
1565,4.0,277.0,162561.0
1607,4.5,103.0,13661.0
1628,3.0,290.0,24195.0
1677,3.0,142.0,16635.0
1708,3.5,122.0,270620.0
1809,4.0,181.0,74469.0
1880,4.0,120.0,8102.0
1908,4.5,124.0,429616.0
1910,4.5,200.0,17263.0
2026,4.0,347.0,341596.0
2072,4.0,145.0,18902.0
2178,4.0,181.0,227041.0
2188,4.5,197.0,655200.0
2194,3.0,125.0,464380.0
2244,4.0,255.0,34342.0
2247,4.0,255.0,593059.0
2282,4.5,249.0,529559.0
2338,4.5,145.0,41819.0
2340,4.5,517.0,14033.0
2355,3.0,218.0,56288.0
2422,4.0,408.0,14276.0
2460,4.0,294.0,216675.0
2497,3.0,112.0,75334.0
2551,4.0,1244.0,782.0
2554,3.5,108.0,101233.0
2605,4.0,118.0,491005.0
2639,4.0,170.0,1900.0
2684,4.5,992.0,1007371.0
2693,3.5,121.0,9048.0
2708,4.5,200.0,30884.0
2748,4.0,344.0,28905.0
2769,4.5,154.0,6137.0
2815,4.5,219.0,804560.0
2929,4.5,104.0,34796.0
2950,4.5,292.0,18960.0
3003,4.5,321.0,19565.0
3010,4.0,324.0,47991.0
3086,4.0,439.0,1952.0
3110,4.5,225.0,9534.0
3235,4.0,187.0,498403.0
3298,4.0,124.0,40437.0
3319,4.5,159.0,476289.0
3329,4.5,101.0,255513.0
3333,4.5,150.0,21296.0
3429,4.5,517.0,593796.0
3453,4.0,114.0,17692.0
3498,4.5,180.0,153.0
3500,4.5,180.0,191683.0
3503,4.0,102.0,6412.0
